depth,2018-01-11,2018-02-07,2018-03-13,2018-04-10,2018-05-15,2018-06-12,2018-07-17,2018-08-14,2018-09-11,2019-02-12,2019-03-12,2019-04-09,2019-05-14,2019-06-12,2019-07-12,2019-08-13,2020-02-11,2020-03-10,2020-08-11,2020-09-08,2020-10-13,2020-11-10,2020-12-08,2021-01-19,2021-02-16,2021-03-16,2021-04-13,2021-05-11,2021-06-08,2021-07-13,2021-08-10,2021-09-07,2021-10-12,2021-11-09,2021-12-07,2022-01-18,2022-02-08,2022-03-08,2022-04-05,2022-05-10,2022-06-14,2022-07-12,2022-08-09,2022-09-06,2022-10-18,2022-11-08,2022-12-06,2023-01-17,2023-02-14,2023-03-14,2023-04-11,2023-05-09,2023-06-13
0.0,4.158065112997526,3.672905294449818,2.7461358313817343,3.0593481701300456,5.551428001794348,7.046717838807754,2.135416666666665,8.462717513979866,9.440731691592397,52.31818181818181,7.511111111111113,7.828571428571427,21.847826086956523,14.216216216216218,8.58139534883721,12.173913043478263,0.0,1.4519272727272738,20.792,17.574044444444443,9.808615384615386,2.4418333333333337,16.395166666666668,34.10624000000001,82.97061818181818,2.6958139534883725,13.557894736842107,22.435162790697674,12.76290909090909,5.609032258064517,30.823172413793106,243.08271186440683,9.968,14.113191489361704,10.357666666666669,22.979090909090907,8.41493333333333,9.970074074074077,2.267605633802817,12.693032258064514,4.883666666666667,8.074769230769233,5.888,3.0912000000000006,5.474,8.5008,23.046,13.699636363636364,96.44543999999999,3.5748571428571427,6.355999999999999,0.0,0.0
5.0,5.714385763470389,4.4842406225862765,1.1084292756423901,0.25698415484388676,10.037297512834572,N/A,4.565972222222222,9.344218251355233,48.5657133836526,23.227272727272727,10.622222222222224,9.542857142857143,25.543478260869563,18.810810810810807,12.30232558139535,5.6521739130434785,0.0,N/A,20.792,14.139377777777778,4.524512820512822,1.6368333333333338,14.785166666666667,28.18144,13.5424,2.6958139534883725,17.286315789473687,24.232372093023255,9.54290909090909,15.996129032258066,41.4824827586207,41.805423728813565,10.248000000000001,14.113191489361704,13.309333333333335,8.928181818181818,18.718933333333332,4.722666666666667,4.081690140845071,3.9678709677419355,12.93366666666667,7.0840000000000005,6.1946666666666665,5.380977777777778,11.621272727272727,6.783466666666666,11.085999999999999,9.894181818181817,11.030564102564103,7.254857142857143,6.355999999999999,0.0,0.0
10.0,2.6017444625246644,3.9974394257044024,0.9446586200684558,2.7643624843104497,16.018456860888204,11.781802322683546,2.3090277777777763,15.955473781670486,5.868450754491251,25.045454545454547,10.844444444444447,6.685714285714286,20.76086956521739,22.594594594594597,12.069767441860465,10.652173913043478,0.0,N/A,12.695999999999998,4.694044444444445,8.487589743589744,1.6368333333333338,14.516833333333334,41.834239999999994,10.9664,2.396279069767442,10.16842105263158,19.14027906976744,4.273818181818181,5.816774193548387,24.505025641025643,38.53084745762712,9.128,11.372765957446813,12.236,58.80890909090909,12.708266666666665,10.447111111111113,1.36056338028169,12.485290322580646,9.713666666666667,6.093230769230771,5.581333333333334,5.380977777777778,7.230363636363636,7.2128,20.746000000000002,12.821454545454545,6.076717948717949,3.837714285714286,3.276,0.0,0.0
20.0,0.3537257451749749,2.2125017038041896,N/A,2.469376798490854,9.788082539999005,3.0592782734386668,4.565972222222222,6.552799249666572,11.822252316326496,15.954545454545453,7.066666666666667,9.542857142857143,29.456521739130437,21.783783783783782,17.883720930232556,11.956521739130437,0.0,N/A,26.516444444444442,10.990933333333336,10.469128205128206,11.296833333333334,24.176833333333338,33.84864,8.3904,2.396279069767442,18.64210526315789,29.026000000000003,8.372,7.894193548387097,39.70593103448277,36.34779661016949,12.208,22.06042553191489,19.481,20.929999999999996,8.41493333333333,7.107851851851851,6.621408450704227,7.291741935483871,18.837000000000003,10.799384615384616,4.968,14.253866666666667,13.670363636363636,7.2128,19.826,16.62690909090909,4.095179487179488,6.466285714285715,9.436,0.0,0.0
30.0,11.075045781765803,0.26529691627668506,N/A,2.174391112671258,6.049857947465485,3.557708219109803,0.05208333333333241,13.017137990419261,14.543990173165469,24.136363636363637,6.177777777777778,1.8285714285714283,25.543478260869563,7.72972972972973,6.255813953488372,10.217391304347826,0.0,N/A,15.64,8.414933333333334,4.524512820512822,16.663500000000003,26.055166666666672,37.71264,12.4384,11.68186046511628,29.923000000000002,21.23702325581396,4.859272727272727,3.947096774193549,28.15834482758621,41.805423728813565,13.888,16.305531914893617,14.382666666666669,16.83181818181818,13.566933333333337,7.9029135802469135,7.528450704225351,5.2143225806451605,8.640333333333333,5.102461538461538,0.9813333333333333,3.6636444444444445,5.766727272727273,2.9194666666666667,7.406000000000001,8.430545454545454,3.7649230769230773,5.152,5.236000000000001,0.0,0.0
40.0,3.6392915628399067,1.7257005069223132,1.435970586790259,0.9944483693928765,4.8037830832876445,3.80692319194537,2.6562499999999987,5.377464933166084,2.976604281599845,45.954545454545446,7.733333333333333,1.5428571428571425,23.80434782608696,6.918918918918918,16.48837209302326,7.173913043478262,0.0,N/A,11.592,6.411377777777779,7.496820512820515,7.271833333333334,20.151833333333336,54.45664,16.854400000000002,13.47906976744186,40.272999999999996,41.446000000000005,9.250181818181817,13.295483870967741,32.377655172413796,71.93152542372883,9.688,14.661276595744683,11.967666666666666,15.95363636363636,10.990933333333334,3.609580246913581,3.900281690140845,4.175612903225807,16.15366666666667,3.1209230769230767,2.2079999999999997,4.522311111111112,7.523090909090909,34.48083333333334,19.826,9.894181818181817,4.425435897435898,6.203428571428573,5.516000000000001,0.0,0.0
50.0,N/A,N/A,N/A,3.3543338559496414,N/A,20.753541344763992,3.8715277777777777,6.846632828791694,16.666667293136413,23.68181818181818,5.511111111111112,2.1142857142857143,29.673913043478265,12.864864864864865,10.906976744186046,9.347826086956523,0.0,N/A,16.744,3.549155555555556,9.808615384615386,4.320166666666668,21.761833333333335,34.62144000000001,31.684800000000003,5.092093023255814,13.89684210526316,17.34306976744186,4.566545454545454,6.024516129032257,35.93075862068966,20.48172549019608,10.248000000000001,20.690212765957448,7.9426666666666685,13.319090909090908,10.990933333333334,7.425876543209877,4.263098591549295,5.422064516129033,9.177,2.8732307692307693,6.1946666666666665,7.384533333333334,4.888545454545454,2.9194666666666667,20.286,16.33418181818182,3.1044102564102576,4.889142857142857,18.396000000000004,0.0,0.0
60.0,36.49494973948922,1.401166375667729,N/A,3.5018266988594395,5.052998056123212,2.0624183820963973,0.22569444444444367,4.495964195790717,2.1260612013376656,30.499999999999996,7.28888888888889,3.257142857142857,30.108695652173918,13.405405405405407,11.604651162790697,10.0,0.0,N/A,26.311999999999998,5.552711111111112,6.1757948717948725,8.076833333333335,19.615166666666667,48.53184,19.4304,1.198139534883721,11.185263157894736,28.796000000000003,6.322909090909091,9.556129032258065,28.602482758620692,39.840677966101694,12.488,17.949787234042557,17.066,17.12454545454545,12.708266666666665,5.676740740740741,5.1701408450704225,10.200129032258065,14.007,4.607076923076923,9.568000000000001,5.6672,7.230363636363636,5.924799999999999,18.906,20.72509090909091,7.397743589743591,7.254857142857143,6.636,0.0,0.0
80.0,N/A,N/A,1.5997412423641935,3.0593481701300456,5.551428001794348,5.052998056123212,0.05208333333333241,6.405882460104011,3.657038745809588,19.59090909090909,6.622222222222223,4.4,27.065217391304348,6.648648648648647,13.232558139534886,19.34782608695652,0.0,N/A,18.952,5.552711111111112,11.129641025641028,9.150166666666667,16.663500000000003,39.77344,26.29861818181819,6.290232558139535,14.574736842105262,35.926,7.201090909090908,14.3341935483871,31.933517241379313,38.094237288135595,10.248000000000001,23.430638297872342,14.651000000000003,10.977272727272728,10.990933333333334,7.58488888888889,6.44,8.745935483870968,24.20366666666667,13.524000000000003,2.514666666666667,6.239644444444445,8.108545454545453,3.7781333333333325,23.966,20.72509090909091,3.7649230769230773,8.043428571428572,8.316,0.0,0.0
100.0,N/A,N/A,1.435970586790259,2.9118553272202474,7.794362757314459,7.046717838807754,0.05208333333333241,4.789797774915839,5.52823352238638,16.409090909090907,10.177777777777779,4.685714285714286,27.282608695652176,16.10810810810811,8.348837209302326,10.652173913043478,0.0,N/A,N/A,N/A,10.469128205128206,N/A,N/A,6.726222222222221,N/A,5.990697674418604,18.981052631578944,N/A,15.104727272727272,N/A,22.523487179487176,19.97662745098039,15.568000000000001,10.002553191489362,12.504333333333335,10.09909090909091,14.425600000000001,N/A,3.3560563380281687,N/A,4.3469999999999995,N/A,2.2079999999999997,N/A,1.961272727272727,N/A,N/A,8.137818181818181,1.4531282051282057,N/A,16.436,N/A,0.0
