depth,2014-02-18,2014-03-26,2014-04-22,2014-10-07,2014-11-11,2018-01-11,2018-02-07,2018-03-13,2018-04-10,2018-05-15,2018-06-12,2018-07-17,2018-08-14,2018-09-11,2018-11-14,2019-02-12,2019-03-12,2019-04-09,2019-05-14,2019-06-12,2019-07-12,2019-08-13,2020-02-11,2020-05-12,2020-06-09,2020-07-14,2020-08-11,2020-09-08,2020-10-13,2020-11-10,2020-12-08,2021-01-19,2021-02-16,2021-03-16,2021-04-13,2021-05-11,2021-06-08,2021-07-13,2021-08-10,2021-09-07,2021-10-12,2021-11-09,2021-12-07,2022-01-18,2022-02-08,2022-03-08,2022-04-05,2022-05-10,2022-06-14,2022-07-12,2022-08-09,2022-09-06,2022-10-18,2022-11-08,2022-12-06,2023-01-17,2023-02-14,2023-03-14,2023-04-11,2023-05-09,2023-06-13
0.0,N/A,N/A,N/A,N/A,N/A,1.0157308908695117,279.7239005223914,17.397856156528658,19.596489254978877,12.024566100233683,12.029657188659751,12.211256535096389,10.471557040493074,16.19556971526598,7.71,15.7,9.299999999999999,9.0,11.5,3.5625,10.9,14.3,10.5,1.998677419354839,7.282900000000001,15.9789,13.370099999999999,14.800732258064517,10.6526,5.060172413793104,13.975714285714286,2.5198636363636364,7.046089285714285,14.2397,26.088,10.9787,127.8101612903226,5.172620689655173,19.022500000000004,25.036064516129038,21.459483870967745,33.588300000000004,15.779032258064516,62.962384615384615,21.03870967741936,14.81425714285714,54.470777777777776,37.827600000000004,11.807068965517242,33.50958620689656,9.974823529411767,40.3277,15.180517241379313,24.34103571428572,16.305,29.542621875,29.022900000000003,38.14381818181818,21.641181818181813,10.940129032258065,13.859250000000001
0.1,N/A,121.30000000000001,66.0,28.330000000000002,78.3,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
5.0,N/A,N/A,N/A,N/A,N/A,2.3848249613230923,27.011483680850116,17.865944250707983,18.69675962373307,25.637107788642602,15.272905440780605,10.414666463053125,15.801697027736274,12.63188420516672,5.48,8.7,11.3,6.999999999999999,9.5,3.2499999999999996,8.9,15.299999999999999,11.5,3.0506129032258062,1.8479,13.8049,7.935099999999999,8.48911935483871,4.1306,3.9356896551724145,10.481785714285717,N/A,5.8814464285714285,31.6317,17.392,9.8917,66.79790322580645,14.16848275862069,20.109499999999997,28.19187096774194,19.355612903225808,25.979300000000002,14.727096774193548,123.16546153846153,29.4541935483871,16.677685714285715,237.81144444444445,26.9576,9.558103448275864,21.140275862068965,13.81129411764706,50.1107,10.682586206896552,44.139964285714285,43.29258620689656,38.714184374999995,36.631899999999995,43.08472727272728,46.345727272727274,15.147870967741937,13.859250000000001
10.0,11.0,130.6,73.0,28.330000000000002,81.0,1.472095581020705,27.457972049828104,16.929768062349332,19.596489254978877,13.385820269074575,20.832759587273493,11.312961499074756,14.91334036319574,19.75925522536524,28.71,13.7,13.299999999999999,6.999999999999999,6.5,2.6249999999999996,6.8999999999999995,8.3,5.5,1.998677419354839,5.1089,10.5439,7.935099999999999,10.592990322580647,5.217600000000001,3.9356896551724145,9.317142857142859,N/A,5.8814464285714285,19.674700000000005,15.217999999999998,9.8917,42.50169999999999,8.546068965517243,14.6745,19.776387096774197,20.407548387096778,17.2833,15.779032258064516,110.62315384615387,26.298387096774196,18.541114285714283,72.34588888888888,22.6096,9.558103448275864,26.762689655172412,28.19805882352942,42.50169999999999,37.67017241379311,24.34103571428572,32.04775862068966,39.733246875,34.45790000000001,32.21472727272728,38.44027272727273,14.095935483870967,24.34103571428572
15.0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,19.738339723665405,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
20.0,9.0,134.0,72.0,N/A,N/A,4.210283721927867,27.457972049828104,15.057415685632037,19.596489254978877,36.527141139369746,18.05283251402705,9.965518945042309,13.580805366384942,15.304648337741167,7.71,15.7,18.3,15.0,12.5,2.9375,4.8999999999999995,7.3,6.5,1.998677419354839,6.195900000000001,9.4569,13.370099999999999,21.112345161290325,10.6526,6.184655172413794,8.1525,N/A,2.3875178571428575,15.3267,11.957,19.674700000000005,42.50169999999999,1.7991724137931036,12.500499999999999,17.672516129032257,24.61529032258065,9.6743,11.571290322580646,124.41969230769232,22.090645161290322,27.858257142857145,46.016333333333336,24.783600000000003,12.931551724137933,32.38510344827586,13.81129411764706,47.9367,41.04362068965517,38.31675,34.29672413793104,38.714184374999995,30.1099,50.002,53.26300000000001,18.303677419354837,16.188535714285717
30.0,15.6,166.6,86.0,29.3,105.6,1.928460271171899,27.011483680850116,26.291529945935824,39.84040595800962,55.1309481135286,23.61268666051994,8.618076391009863,22.90855034406054,46.4868965511097,7.71,9.7,11.3,16.0,52.5,20.4375,46.9,33.300000000000004,11.5,3.0506129032258062,40.979899999999994,46.414899999999996,47.067099999999996,27.423958064516132,21.522600000000004,3.9356896551724145,5.823214285714286,82.73277777777778,1.2228750000000002,33.8057,25.000999999999998,29.4577,50.110699999999994,32.16020689655173,48.3715,18.724451612903227,41.44625806451613,16.1963,14.727096774193548,140.72469230769232,139.50965625000003,26.926542857142856,60.50966666666666,41.0886,63.533275862068976,70.61751724137932,22.443352941176475,51.19769999999999,25.300862068965518,51.12782142857142,33.17224137931035,38.714184374999995,34.45790000000001,45.061090909090915,73.780125,54.06948387096775,56.95103571428572
40.0,48.300000000000004,177.0,97.0,62.0,115.3,2.841189651474286,29.69041389471805,27.227706134294476,46.5883781923532,52.40843977584682,27.78257727038961,41.405845205799395,46.89418028665493,47.377817928634514,49.26,18.7,56.300000000000004,47.0,112.5,27.3125,108.89999999999999,79.3,18.5,17.777709677419356,62.7199,60.5459,61.1981,65.22,90.78203225806452,64.65775862068966,23.292857142857144,N/A,26.84501785714286,32.7187,39.132000000000005,52.284699999999994,64.2417,53.52537931034483,51.63250000000001,75.63416129032258,66.69270967741936,94.13419999999999,15.779032258064516,143.23315384615387,21.03870967741936,43.6974,68.72255555555556,71.4046551724138,73.73015806451616,66.11958620689656,83.10290322580644,109.2435,106.74340000000001,111.68925,46.666034482758626,44.82855937499999,29.022900000000003,50.990181818181824,98.23762500000001,79.94709677419355,98.917
50.0,N/A,193.0,104.0,81.0,127.0,2.3848249613230923,34.15529758449793,43.14270133639151,41.63986522050124,N/A,74.11469515783037,11.312961499074756,44.6732886253036,50.49604274997137,66.23,20.7,77.3,68.0,9.5,37.0,83.9,93.3,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,57.0675,N/A,64.58883870967742,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,63.533275862068976,N/A,N/A,58.89563636363637,N/A,N/A,N/A
