location,depth,MSE,MAPE,MAE,R2,EVS,hyper_param
temp,0-10m,0.8393,3.572,0.81,0.35,0.36,42
Chl-a,0-10m,0.5375,44.874,0.61,-0.43,-0.22,86
pH,0-10m,0.0614,2.171,0.19,0.29,0.29,60
DO,0-10m,0.0667,2.799,0.19,0.47,0.53,28
secchi,0-10m,2.2281,15.5,1.23,-0.41,0.1,18
BDO,0-10m,0.7205,70.214,0.67,0.12,0.17,34
TDS,0-10m,126.2986,2.391,6.28,0.29,0.31,94
turbidity,0-10m,0.0151,29.124,0.1,-0.15,0.01,60
nitrate,0-10m,1418.9701,50.114,25.32,-0.53,0.08,42
phosphate,0-10m,124.5988,36.591,8.12,-0.04,-0.01,38
ammonium,0-10m,201.7636,nan,11.67,-2.78,-0.85,50
phosphorus,0-10m,11.1012,23.43,2.78,-1.05,-0.5,72
temp,10-30m,1.1347,3.867,0.88,-0.22,-0.06,48
Chl-a,10-30m,1.3356,58.029,1.01,-3.05,0.07,12
pH,10-30m,0.1646,3.829,0.32,0.09,0.23,48
DO,10-30m,0.1001,4.224,0.28,-0.44,-0.15,28
secchi,10-30m,1.8026,12.574,1.0,-0.14,0.12,44
BDO,10-30m,0.7532,81.698,0.65,0.07,0.08,24
TDS,10-30m,136.4706,2.479,6.56,0.16,0.24,48
turbidity,10-30m,0.0148,21.794,0.1,0.05,0.05,42
nitrate,10-30m,1522.0159,65.415,28.14,-0.68,0.11,88
phosphate,10-30m,104.1398,40.076,8.76,0.07,0.21,24
ammonium,10-30m,68.4391,nan,7.27,-1.54,-0.03,56
phosphorus,10-30m,7.9722,21.014,2.29,-0.77,-0.33,20
temp,30m+,0.0151,0.472,0.1,-0.02,0.01,28
Chl-a,30m+,0.0635,24.32,0.21,-0.66,-0.22,36
pH,30m+,0.3461,6.376,0.46,-0.23,-0.02,18
DO,30m+,0.2357,20.129,0.4,-0.08,0.11,54
secchi,30m+,1.9148,13.665,1.07,-0.22,-0.02,84
BDO,30m+,0.9057,91.413,0.71,-0.11,-0.11,42
TDS,30m+,146.9021,2.003,5.47,-0.03,0.03,46
turbidity,30m+,0.0031,31.477,0.05,-0.05,0.01,14
nitrate,30m+,668.4139,24.283,19.35,-0.32,-0.08,64
phosphate,30m+,280.8824,11.47,14.63,-1.36,0.23,48
ammonium,30m+,525.6003,nan,19.69,0.04,0.06,26
phosphorus,30m+,39.9958,14.746,5.74,-4.1,-0.83,52
